runner_id,runner_name,session_num,date,age,gender,height_cm,weight_kg,bmi,location,altitude_m,latitude,longitude,route_distance_m,avg_pace_s_per_km,total_time_s,improvement_pct
runner-001,Vinuja,1,2026-01-05,58,M,182.1,87.7,26.4,Diyatha Uyana,12,6.88,79.9,2000,430.9,861.8,0.0
runner-001,Vinuja,2,2026-01-12,58,M,182.1,87.7,26.4,Diyatha Uyana,12,6.88,79.9,2000,422.9,845.8,0.99
runner-001,Vinuja,3,2026-01-19,58,M,182.1,87.7,26.4,Diyatha Uyana,12,6.88,79.9,2000,391.5,783.0,1.98
runner-001,Vinuja,4,2026-01-26,58,M,182.1,87.7,26.4,Diyatha Uyana,12,6.88,79.9,2000,398.3,796.6,2.97
runner-001,Vinuja,5,2026-02-02,58,M,182.1,87.7,26.4,Diyatha Uyana,12,6.88,79.9,2000,403.9,807.8,3.96
runner-001,Vinuja,6,2026-02-09,58,M,182.1,87.7,26.4,Diyatha Uyana,12,6.88,79.9,2000,395.7,791.4,4.95
runner-002,Tharindu,1,2026-01-05,32,M,170.1,74.9,25.9,Diyatha Uyana,12,6.88,79.9,7000,381.1,2667.7,0.0
runner-002,Tharindu,2,2026-01-12,32,M,170.1,74.9,25.9,Diyatha Uyana,12,6.88,79.9,7000,385.7,2699.9,1.97
runner-002,Tharindu,3,2026-01-19,32,M,170.1,74.9,25.9,Diyatha Uyana,12,6.88,79.9,7000,388.7,2720.9,3.94
runner-002,Tharindu,4,2026-01-26,32,M,170.1,74.9,25.9,Diyatha Uyana,12,6.88,79.9,7000,352.4,2466.8,5.91
runner-002,Tharindu,5,2026-02-02,32,M,170.1,74.9,25.9,Diyatha Uyana,12,6.88,79.9,7000,366.3,2564.1,7.88
runner-002,Tharindu,6,2026-02-09,32,M,170.1,74.9,25.9,Diyatha Uyana,12,6.88,79.9,7000,362.5,2537.5,9.85
runner-003,Supun,1,2026-01-05,35,M,183.2,100.0,29.8,Nuwara Eliya Track,1868,6.97,80.77,1500,471.6,707.4,0.0
runner-003,Supun,2,2026-01-12,35,M,183.2,100.0,29.8,Nuwara Eliya Track,1868,6.97,80.77,1500,462.1,693.1,0.82
runner-003,Supun,3,2026-01-19,35,M,183.2,100.0,29.8,Nuwara Eliya Track,1868,6.97,80.77,1500,427.8,641.7,1.64
runner-003,Supun,4,2026-01-26,35,M,183.2,100.0,29.8,Nuwara Eliya Track,1868,6.97,80.77,1500,428.2,642.3,2.46
runner-003,Supun,5,2026-02-02,35,M,183.2,100.0,29.8,Nuwara Eliya Track,1868,6.97,80.77,1500,435.8,653.7,3.28
runner-003,Supun,6,2026-02-09,35,M,183.2,100.0,29.8,Nuwara Eliya Track,1868,6.97,80.77,1500,419.2,628.8,4.1
runner-004,Kasun,1,2026-01-05,42,M,177.9,79.7,25.2,Sigiriya Base,370,7.96,80.76,3000,398.9,1196.7,0.0
runner-004,Kasun,2,2026-01-12,42,M,177.9,79.7,25.2,Sigiriya Base,370,7.96,80.76,3000,386.4,1159.2,2.52
runner-004,Kasun,3,2026-01-19,42,M,177.9,79.7,25.2,Sigiriya Base,370,7.96,80.76,3000,381.2,1143.6,5.04
runner-004,Kasun,4,2026-01-26,42,M,177.9,79.7,25.2,Sigiriya Base,370,7.96,80.76,3000,379.5,1138.5,7.56
runner-004,Kasun,5,2026-02-02,42,M,177.9,79.7,25.2,Sigiriya Base,370,7.96,80.76,3000,367.3,1101.9,10.08
runner-004,Kasun,6,2026-02-09,42,M,177.9,79.7,25.2,Sigiriya Base,370,7.96,80.76,3000,353.8,1061.4,12.6
runner-005,Malith,1,2026-01-05,24,M,165.6,84.0,30.6,Nuwara Eliya Track,1868,6.97,80.77,1800,438.9,790.0,0.0
runner-005,Malith,2,2026-01-12,24,M,165.6,84.0,30.6,Nuwara Eliya Track,1868,6.97,80.77,1800,437.8,788.0,1.8
runner-005,Malith,3,2026-01-19,24,M,165.6,84.0,30.6,Nuwara Eliya Track,1868,6.97,80.77,1800,436.8,786.2,3.6
runner-005,Malith,4,2026-01-26,24,M,165.6,84.0,30.6,Nuwara Eliya Track,1868,6.97,80.77,1800,406.2,731.2,5.4
runner-005,Malith,5,2026-02-02,24,M,165.6,84.0,30.6,Nuwara Eliya Track,1868,6.97,80.77,1800,399.4,718.9,7.2
runner-005,Malith,6,2026-02-09,24,M,165.6,84.0,30.6,Nuwara Eliya Track,1868,6.97,80.77,1800,392.5,706.5,9.0
runner-006,Nuwan,1,2026-01-05,33,M,176.0,85.0,27.4,Galle Face Green,3,6.92,79.85,2000,383.5,767.0,0.0
runner-006,Nuwan,2,2026-01-12,33,M,176.0,85.0,27.4,Galle Face Green,3,6.92,79.85,2000,344.0,688.0,2.9
runner-006,Nuwan,3,2026-01-19,33,M,176.0,85.0,27.4,Galle Face Green,3,6.92,79.85,2000,350.9,701.8,5.8
runner-006,Nuwan,4,2026-01-26,33,M,176.0,85.0,27.4,Galle Face Green,3,6.92,79.85,2000,342.7,685.4,8.7
runner-006,Nuwan,5,2026-02-02,33,M,176.0,85.0,27.4,Galle Face Green,3,6.92,79.85,2000,325.1,650.2,11.6
runner-006,Nuwan,6,2026-02-09,33,M,176.0,85.0,27.4,Galle Face Green,3,6.92,79.85,2000,326.8,653.6,14.5
runner-007,Kamal,1,2026-01-05,31,M,180.8,66.9,20.5,Nuwara Eliya Track,1868,6.97,80.77,2000,394.0,788.0,0.0
runner-007,Kamal,2,2026-01-12,31,M,180.8,66.9,20.5,Nuwara Eliya Track,1868,6.97,80.77,2000,419.7,839.4,2.79
runner-007,Kamal,3,2026-01-19,31,M,180.8,66.9,20.5,Nuwara Eliya Track,1868,6.97,80.77,2000,382.8,765.6,5.58
runner-007,Kamal,4,2026-01-26,31,M,180.8,66.9,20.5,Nuwara Eliya Track,1868,6.97,80.77,2000,382.7,765.4,8.37
runner-007,Kamal,5,2026-02-02,31,M,180.8,66.9,20.5,Nuwara Eliya Track,1868,6.97,80.77,2000,369.1,738.2,11.16
runner-007,Kamal,6,2026-02-09,31,M,180.8,66.9,20.5,Nuwara Eliya Track,1868,6.97,80.77,2000,372.6,745.2,13.95
runner-008,Dilshan,1,2026-01-05,34,M,171.8,62.3,21.1,Sigiriya Base,370,7.96,80.76,4000,382.4,1529.6,0.0
